author,total_top15_conferences,last_affiliation,NeurIPS,ACL,CVPR,ECCV,EMNLP,IJCNLP,ICLR,WS,COLING,LREC,ICCV,SEMEVAL,ICML,RANLP,JEPTALNRECITAL,orcid,last_affiliation_country
Magalie Ochs,11,Sorbonne Université,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,0,FR
Denis Jouvet,11,Strasbourg/Lorraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0,FR
Gil Francopoulo,11,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0,FR
Lionel Nicolas,11,Université Paris Cité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,https://orcid.org/0000-0001-7237-1239,FR
Alain Ghio,11,Laboratoire Parole et Langage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,https://orcid.org/0000-0001-7302-0799,FR
Gael Varoquaux,11,Institut polytechnique de Paris,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Sylvain Lamprier,11,Sorbonne Université,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,FR
Damien Sileo,11,Université de Lille,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0,FR
Bassam Jabaian,11,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0,FR
Renaud Marlet,11,Université Gustave Eiffel,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,FR
Antoine Laurent,11,Université de Toulouse,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,https://orcid.org/0000-0002-2653-1008,FR
Benjamin Piwowarski,11,Sorbonne Université,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://orcid.org/0000-0001-6792-3262,FR
Jean Maillard,10,Université Paris-Saclay,0.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Romain Couillet,10,Université Grenoble Alpes,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,FR
Ignacio Rocco,10,Université Paris sciences et lettres,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,FR
Bertrand Thirion,10,Université Paris-Saclay,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://orcid.org/0000-0001-5018-7895,FR
Alain Rakotomamonjy,10,Institut National des Sciences Appliquées de Rouen,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,FR
Oliver Adams,10,Atos (France),0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,https://orcid.org/0000-0002-5145-9589,FR
Michael Zock,10,Université Paris-Saclay,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,FR
Ran Levy,10,Institut polytechnique de Paris,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,FR
