numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
201220083G;EDITION, LANGAGES, LITTÉRATURES, INFORMATIQUE, ARTS, DIDACTIQUES, DISCOURS;ELLIADD;2012;Unité mixte;22;2;http://elliadd.univ-fcomte.fr/;UFR SLHS30 rue Mégevand;25030;BESANÇON CEDEX;ROXIN,HOUSSAIS;Ioan,Yvon;DIR,directeur adjoint;EA 4661,EA 4661;Université Franche-Comté Besançon,Université Bourgogne Franche-Comté;BESANCON,UBFC;UNIV,SITE;Université,Site;0251215K,0251985X;19251215000363,13002091000019;TUTE,TUTE;établissement tutelle,établissement tutelle;;201421798M;200014486A,199613836L;"fusion;fusion";"F;F";"2012;2012";6,7,9;Sciences humaines et humanités,Sciences de la société,Sciences et technologies de l'information et de la communication;"SH5;SH3;SH4";Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy,The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220083G&PUBLIC=OK
201220225L;Laboratoire d'économie d'Orleans;LEO;2012;Unité propre;21;2;http://www.univ-orleans.fr/LEO/;Rue de Blois;45067;ORLEANS CEDEX 2;HURLIN,DIRER;Christophe,Alexis;DIR,DIR-ADJ;FRE 2014,FRE 2014;Université de Tours,Université Orléans;TOURS,ORLEANS;UNIV,UNIV;Université,Université;0370800U,0450855K;19370800500478,19450855200016;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;7;Sciences de la société;SH1;Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220225L&PUBLIC=OK
200321852U;Pôle approche biographique et multiniveaux;GRAB;2003;Equipe interne;1;1;https://www.ined.fr/fr/recherche/equipes-recherche/M51;Campus Condorcet - 9, cours des Humanités - CS 50004;93322;Aubervilliers Cedex;LELIEVE;Eva;;;Institut national d'études démographiques;INED;EPST;Organismes de type EPST;0755360U;18003702000021;TUTE;établissement tutelle;;;;;;;6;Sciences humaines et humanités;SH3;The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200321852U&PUBLIC=OK
200717476V;Institut de Génomique Fonctionnelle;IGF;2005;Unité mixte;22;2;http://www.igf.cnrs.fr;CNRS 141 Rue de la Cardonille;34094;MONTPELLIER CEDEX 5;DURROUX,MARIN,GUERINEAU;Thierry,Philippe,Nathalie;Directeur adjoint,Directeur,Directrice adjointe;UMR 5203,U 1191,UMR 5203;Centre national de la recherche scientifique,Institut national de la sante et de la recherche medicale,Université de Montpellier (EPE);CNRS,INSERM,MONTPELLIER;EPST,EPST,UNIV;Organismes de type EPST,Organismes de type EPST,Université;0753639Y,0755364Y,0342490X;18008901303720,18003604800015,13002979600013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;201120699F;essaimage-fusion;SF;2021;5;Biologie, médecine et santé;"LS1;LS5;LS4";Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases));https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200717476V&PUBLIC=OK
201420658Y;QUALITE ET SANTE DU VEGETAL;QUASAV;2014;Structures Fédératives de Recherche;3;3;https://www.sfrquasav-angers.org/;UFR Sciences, 2, bd Lavoisier;49045;Angers cedex 01;FOUCHER;Fabrice;;FED 4207;Université Angers;ANGERS;UNIV;Université;0490970N;19490970100303;TUTE;établissement tutelle;;;;;;;10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201420658Y&PUBLIC=OK
201420663D;CYBERNETIQUE, INFORMATIQUE ET COMMUNICATIONS;;2006;Structures Fédératives de Recherche;3;3;;;;;BENHAMOU;F.;;FR 2819;Université Angers;ANGERS;UNIV;Université;0490970N;19490970100303;TUTE;établissement tutelle;;;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201420663D&PUBLIC=OK
198620670H;Groupe de Recherche Environnement, Confort, Conception Architecturale et Urbaine;GRECCAU;1986;Unité propre;21;2;http://www.bordeaux.archi.fr;740 COURS DE LA LIBERATION - CS 70109;33405;TALENCE Cédex;BRUNEAU,BARLET;Denis,Aline;PR -  Co-Directeur,MCF- Co-Directrice;EA 7482;Ecole Nationale Supérieure d'Architecture et de Paysage de Bordeaux;EC. ARCHI. PAYS. BDX;AUT_ETAB;Autres établissements ESR;0330199M;19330199100017;TUTE;établissement tutelle;;;;;;;8;Sciences pour l'ingénieur;"SH3;PE8";The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=198620670H&PUBLIC=OK
200719511G;MAISON DES SCIENCES DE L'HOMME D'AQUITAINE;MSHA;1978;Structures Fédératives de Recherche;3;3;https://www.msha.fr/msha/index.php;Domaine Universitaire10, Esplanade des Antilles;33607;PESSAC CEDEX;BAUDRY;Patrick;Professeur;MSH 11,MSH 11,MSH 11,UAR 2004,MSH 11;Institut Etudes Politiques Bordeaux,Université Bordeaux Montaigne,Maison des Sciences Humaines Aquitaine Bordeaux,Centre national de la recherche scientifique,Université de Bordeaux;IEP BORDEAUX,BORDEAUX 3,MSH AQUITAINE,CNRS,BORDEAUX;AUT_ETAB,UNIV,AUT_OP_FR,EPST,UNIV;Autres établissements ESR,Université,Autre opérateur de droit français,Organismes de type EPST,Université;0330192E,0331766R,0332757T,0753639Y,0333298F;19330192600039,19331766600017,31461477700014,18008901303720,13001835100010;TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;"SH6;SH3;SH2;SH4;SH5;SH1";The Study of the Human Past : Archaeology and history,The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,Institutions, Governance and Legal Systems : Political science, international relations, law,The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy,Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy,Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200719511G&PUBLIC=OK
201019023N;Laboratoire de Mathématiques de Reims;LMR;2010;Unité mixte;22;2;http://www.univ-reims.fr/lmr;UFR Sciences Exactes et Naturelles Laboratoire de Mathématiques Moulin de la Housse BP 1039;51687;REIMS CEDEX 2;DI MENZA,VIGNERON;Laurent,François;DIRECTEUR,Directeur adjoint;UMR 9008,UMR 9008;Université Reims Champagne-Ardenne,Centre national de la recherche scientifique;REIMS,CNRS;UNIV,EPST;Université,Organismes de type EPST;0511296G,0753639Y;19511296600799,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;201119869D;200819694B;renouvellement;R;2010;1;Mathématiques et leurs interactions;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019023N&PUBLIC=OK
201220062J;CULTURE, SPORT, SANTÉ, SOCIÉTÉ;C3S;2012;Unité mixte;22;2;http://u-sports.univ-fcomte.fr/pages/fr/laboratoires-et-plateformes-experimentales---c3s-14559.html;UFR STAPS31, chemin de l'épitaphe;25000;BESANCON;LAFFAGE-COSNIER,VIVIER,HAISSAT;Sébastien,Christian,Sébastien;directeur adjoint,directeur,directeur adjoint;EA 4660,EA 4660;Université Franche-Comté Besançon,Université Bourgogne Franche-Comté;BESANCON,UBFC;UNIV,SITE;Université,Site;0251215K,0251985X;19251215000363,13002091000019;TUTE,TUTE;établissement tutelle,établissement tutelle;;201421798M;;;;;5,6,7,8;Biologie, médecine et santé,Sciences humaines et humanités,Sciences de la société,Sciences pour l'ingénieur;"SH5;PE8;SH3;LS7;SH2";Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy,Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220062J&PUBLIC=OK
199819875S;INFORMATIQUE MATHEMATIQUE;IM;1998;Groupements de Recherche;32;3;;ENSICAEN Campus 2 - 6 Bd du Maréchal Juin;14050;CAEN CEDEX 4;MULLER;Jean-Michel;DIR;GDR 673;Centre national de la recherche scientifique;CNRS;EPST;Organismes de type EPST;0753639Y;18008901303720;TUTE;établissement tutelle;;;;;;;1,9;Mathématiques et leurs interactions,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199819875S&PUBLIC=OK
200819979L;MECANOTRANSDUCTION : GENESE, DEGRADATION ET REPARATION DES TISSUS BIOLOGIQUES;;2008;Groupements de Recherche;32;3;;ECOLE CENTRALE DES ARTS ET MANUFACTURES Grande Voie des Vignes;69134;ECULLY CEDEX;HOC;Thierry;DIR;GDR 3162;Centre national de la recherche scientifique;CNRS;EPST;Organismes de type EPST;0753639Y;18008901303720;TUTE;établissement tutelle;;;;;;;8;Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200819979L&PUBLIC=OK
201220233V;Cités, Territoires, Environnement et Sociétés;CITERES;2012;Unité mixte;22;2;http://citeres.univ-tours.fr;33 Allée Ferdinand de Lesseps;37204;TOURS CEDEX 3;BERTHELEU,CARABELLI,HUSI,LETURCQ,SERVAIN;Hélène,Roméo,Philippe,Samuel,Sylvie;DIR-ADJOINT,DIR-ADJOINT,,,;UMR 7324,UMR 7324,UMR 7324,;Université de Tours,Centre national de la recherche scientifique,Institut National de Recherches Archeologiques Preventives,Institut national des sciences appliquées Centre Val de Loire;TOURS,CNRS,INRAP,INSA CENTRE VA;UNIV,EPST,EPA,AUT_ETAB;Université,Organismes de type EPST,Etablissement public à caractère administratif,Autres établissements ESR;0370800U,0753639Y,0755502Y,0180974L;19370800500478,18008901303720,18009226400225,13001833600011;TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement participant,établissement participant;;;;;;;6,7,10;Sciences humaines et humanités,Sciences de la société,Sciences agronomiques et écologiques;"SH6;SH3;SH2;LS8";The Study of the Human Past : Archaeology and history,The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,Institutions, Governance and Legal Systems : Political science, international relations, law,Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220233V&PUBLIC=OK
201220241D;LABORATOIRE DE PHYSICO-CHIMIE DES MATÉRIAUX ET DES ELECTROLYTES POUR L'ENERGIE;PCM2E;2012;Unité propre;21;2;;Université François-RabelaisFaculté des Sciences et TechniquesParc de Grandmont;37200;TOURS;TRAN VAN;François;;EA 6299,EA 6299;Université de Tours,Commissariat à l'énergie atomique et aux énergies alternatives;TOURS,CEA;UNIV,EPIC;Université,Organismes de type EPIC;0370800U,0912281K;19370800500478,77568501900587;TUTE,PART;établissement tutelle,établissement participant;;;200815481X;éclatement - fusion;EF;2012;4;Chimie;"PE4;PE5";Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220241D&PUBLIC=OK
201220245H;Groupe de Recherche en Management;GRM;2012;Unité propre;21;2;https://grm.univ-cotedazur.fr/;Campus Saint Jean d’Angely, 25 Rue du 22ème B.C.A;06537;NICE CEDEX 4;MAYRHOFER;Ulrike;Directrice;UPR 4711;Université Côte d'Azur;UniCA;UNIV;Université;0062205P;13002566100013;TUTE;établissement tutelle;;;199213381J;éclatement - fusion;EF;2012;7;Sciences de la société;SH1;Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220245H&PUBLIC=OK
201320574L;Centre de recherches pétrographiques et géochimiques;CRPG;2013;Unité mixte;22;2;http://crpg.univ-lorraine.fr;15 Rue Notre Dame des Pauvres BP 20;54501;VANDOEUVRE LES NANCY CEDEX;FORD,MARROCHI;Mary,Yves;DIR,dir-adj;UMR 7358,UMR 7358;Centre national de la recherche scientifique,Université de Lorraine;CNRS,LORRAINE;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0542493S;18008901303720,13001550600012;TUTE,TUTE;établissement tutelle,établissement tutelle;201320582V;201320582V;;;;;3;Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201320574L&PUBLIC=OK
201019068M;Diabète-athérothrombose Thérapies Réunion Océan Indien;DETROI;2015;Unité mixte;22;2;https://blog.univ-reunion.fr/detroi/;UNIVERSITE DE LA REUNION FACULTE DES SCIENCES ET DES TECHNOLOGIES, 2 rue Maxime Rivière;97490;ST DENIS CEDEX MESSAG 9;MEILHAC;Olivier;DIR;UMR 1188,U 1188;Université La Réunion,Institut national de la sante et de la recherche medicale;LA REUNION,INSERM;UNIV,EPST;Université,Organismes de type EPST;9740478B,0755364Y;19974478000016,18003604800015;TUTE,PART;établissement tutelle,établissement participant;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019068M&PUBLIC=OK
201019071R;ULR 4490 - MABLAB - Adiposité Médullaire et Os;;2010;Unité mixte;22;2;https://pmoi.univ-littoral.fr/;MABLAB - Faculté de chirurgie dentaire - Place de Verdun;59000;LILLE;CHAUVEAU,CORTET,OLEJNIK;Christophe,Bernard,Cecile;Directeur,Directeur adjoint,Directrice adjoint;EA 4490,ULR 4490;Université Littoral-Côte d'Opale,Université de Lille (EPE);LITTORAL,LILLE;UNIV,UNIV;Université,Université;0595964M,0597239Y;19594403800205,13002975400012;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;5;Biologie, médecine et santé;"LS7;LS3;LS1;LS2;LS4";Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases));https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019071R&PUBLIC=OK
201119590A;Fédération de physique André Marie Ampère;FRAMA;2007;Structures Fédératives de Recherche;3;3;;43 boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;PUMIR,BORDAS;Alain,Christian;DIR-ADJ,Directeur;,,FR 3127,FR 3127,,;Université Jean Monnet Saint-Etienne,Ecole Centrale de Lyon,Université Claude Bernard Lyon 1,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon,Institut National des Sciences Appliquées Lyon;SAINT-ETIENNE,EC. CENTRALE LYON,LYON 1,CNRS,ENS LYON,INSA LYON;UNIV,AUT_ETAB,UNIV,EPST,AUT_ETAB,AUT_ETAB;Université,Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR,Autres établissements ESR;0421095M,0690187D,0691774D,0753639Y,0694123G,0690192J;19421095100423,19690187000010,19691774400019,18008901303720,13000812100019,19690192000013;TUTE,TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;201320570G,200711932U,199812078S,199512096Z,199512012H;200721824W;;;;;2,3;Physique,Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119590A&PUBLIC=OK
201119593D;Maison des Sciences de l'Homme et de la Société de Toulouse;MSHS-T;2011;Unité mixte;22;2;https://mshs.univ-toulouse.fr;UT2J - Maison de la Recherche - 5 allées Antonio Machado;31058;TOULOUSE Cedex 9;HAUTEFEUILLE,FABRE,GAILLARD,FERRET,TERRAL;Florent,Cécile,Pascal,Jérôme,Philippe;DIR,DIR,DIR,DIR-ADJ,DIR-ADJ;USR 3414,UAR 3414,,USR 3414,UAR 3414,UAR 3414;Centre national de la recherche scientifique,Université de Toulouse,Institut Etudes Politiques Toulouse,Université Toulouse - Jean Jaurès,Université Toulouse 3 - Paul Sabatier,Université Toulouse Capitole EPE;CNRS,UT,IEP TOULOUSE,TOULOUSE 2,TOULOUSE 3,UT Capitole;EPST,SITE,AUT_ETAB,UNIV,UNIV,UNIV;Organismes de type EPST,Site,Autres établissements ESR,Université,Université,Université;0753639Y,0312758E,0310133B,0311383K,0311384L,0313124C;18008901303720,13002132200016,19311386700017,19311383400017,19311384200010,13003061200019;TUTE,TUTE,PART,PART,PART,PART;établissement tutelle,établissement tutelle,établissement participant,établissement participant,établissement participant,établissement participant;201621876N,201220094U,201119415K,200715450T,199513633V,199513632U,199113226V,199113224T,199113223S;;;;;;1,6,7,9;Mathématiques et leurs interactions,Sciences humaines et humanités,Sciences de la société,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119593D&PUBLIC=OK
201220073W;INSTITUT DE RECHERCHE EN ENERGIE ELECTRIQUE DE NANTES ATLANTIQUE;IREENA;2012;Unité propre;21;2;;Université de NantesIREENA37 Boulevard de l'Université406;44602;SAINT-NAZAIRE CEDEX;TRICHET;Didier;;UR 4642;Nantes Université;Nantes Université;UNIV;Université;0442953W;13002974700016;TUTE;établissement tutelle;;;;;;;8,9;Sciences pour l'ingénieur,Sciences et technologies de l'information et de la communication;"PE7;PE8";Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering,Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220073W&PUBLIC=OK
201119643H;MICrobiologie de l'ALImentation au service de la Santé;MICALIS;2010;Unité mixte;22;2;http://www.micalis.fr;Domaine de Vilvert;78352;Jouy-en-Josas Cedex;CARBALLIDO Y LOPEZ,JUILLARD,BRIANDET,LANGELLA,NOIROT,GAUTIER;Rut,Vincent,Romain,Philippe,Philippe,Catherine;DUADJ,DUADJ,DUADJ,DUADJ,DU,DUADJ;UMR 1319,UMR 1319,;AgroParisTech (Inst Sc et Ind du Vivant et Environnement),Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Paris-Saclay;AGROPARISTECH,INRAE,U PARIS-SACLAY;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0753465J,,0912408Y;13000285000134,18007003901803,13002602400054;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;5,10;Biologie, médecine et santé,Sciences agronomiques et écologiques;"LS9;LS3;LS6;LS1";Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119643H&PUBLIC=OK
200519759K;Interdisciplinary Scientific Center Poncelet;ISCP;2005;Unité mixte internationale;23;2;;INDEPENDENT UNIVERSITY OF MOSCOW, 11 Bolshoi Vlassievsky per.;;119002 MOSCOW;NECHAEV;Serguei;DIR;IRL 2615,,,,,,,,,;Centre national de la recherche scientifique,INDEPENDENT UNIVERSITY OF MOSCOW,A.A. KHARKEVICH INSTITUTE FOR INFORMATION TRANSMISSION PROBLEMS OF THE RUSSIAN ACADEMY OF SCIENCES,NATIONAL RESEARCH UNIVERSITY HIGHER SCHOOL OF ECONOMICS,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,STEKLOV MATHEMATICAL INSTITUTE OF RUSSIAN ACADEMY OF SCIENCES,RUSSIAN FOUNDATION FOR BASIC RESEARCH,SAINT PETERSBURG STATE UNIVERSITY OF INFORMATION TECHNOLOGIES, MECHANICS AND OPTICS,SAINT PETERSBURG STATE UNIVERSITY,UNIVERSITE D'ETAT DE MOSCOU LOMONOSOV;CNRS,UIM,IITP,HSE,SKOLTECH,STEKLOV MATH. INSTITUTE OF RAS,RFBR,SPBNRU ITMO,SPBU,MSU / MGU;EPST,UNIV_ETR,AUT_OP_ETR,UNIV_ETR,AUT_OP_ETR,AUT_OP_ETR,AUT_OP_ETR,UNIV_ETR,UNIV_ETR,UNIV_ETR;Organismes de type EPST,Université étrangère,Autre opérateur de droit étranger,Université étrangère,Autre opérateur de droit étranger,Autre opérateur de droit étranger,Autre opérateur de droit étranger,Université étrangère,Université étrangère,Université étrangère;0753639Y,,,,,,,,,;18008901303720,,,,,,,,,;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;1,9;Mathématiques et leurs interactions,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200519759K&PUBLIC=OK
200919801N;ASIE ORIENTALE;;2009;Unité mixte;22;2;;CNRS, 3-9-25, Ebisu, Shibuya-ku, Tokyo 150-0013;;Tokyo;GARCIN,TAUNAY;Thomas,Benjamin;DIR,DIR-ADJ;UAR 3331,USR 3331;Centre national de la recherche scientifique,Ministère des affaires étrangères;CNRS,MIN.A.E.;EPST,AUT_OP_FR;Organismes de type EPST,Autre opérateur de droit français;0753639Y,;18008901303720,11000601200014;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200919801N&PUBLIC=OK
200719888S;NEURODIS;;2007;Fondations de coopération scientifique;35;3;http://www.fondation-neurodis.org;INSERM Bâtiment 452B - Centre hospitalier du Vinatier - 95 boulevard Pinel;69675;Bron Cedex;MAUGUIERE;François;DIR;,,,,;Université Claude Bernard Lyon 1,Commissariat à l'énergie atomique et aux énergies alternatives,Hospices Civils de Lyon,Université Grenoble Alpes,Institut national de la sante et de la recherche medicale;LYON 1,CEA,HCL - CHU LYON,GRENOBLE ALPES,INSERM;UNIV,EPIC,MEDIC,UNIV,EPST;Université,Organismes de type EPIC,Etablissements de santé,Université,Organismes de type EPST;0691774D,0912281K,0693209N,0383546Y,0755364Y;19691774400019,77568501900587,26690027300019,13002608100013,18003604800015;TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200719888S&PUBLIC=OK
201320585Y;ARCHITECTURE, MORPHOLOGIE/MORPHOGENÈSE URBAINE ET PROJET;AMUP;2007;Unité mixte;22;2;;ENSA de Strasbourg-12 bd Wilson - INSA de Strasbourg - 24 bd de la Victoire;67000;STRASBOURG;ROSSANO,RUDOLF;Frédéric,Florence;DIR,Co-directrice;EA 7309,EA 7309;Ecole Nationale Supérieure d'Architecture de Strasbourg,Institut National des Sciences Appliquées Strasbourg;EC. ARCHI. STRASBOURG,INSA STRASBOURG;AUT_ETAB,AUT_ETAB;Autres établissements ESR,Autres établissements ESR;0670186N,0670190T;19670186600010,19672767100014;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;6;Sciences humaines et humanités;SH3;The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201320585Y&PUBLIC=OK
200520633K;Laboratoire de Recherche Conventionné Modélisation Mésoscopique;LRC MESO;2005;Structures Fédératives de Recherche;3;3;http://www.cmla.ens-cachan.fr/version-francaise/recherche/lrc-meso/;;;;BOUCHE;Daniel;;,,;Ecole normale supérieure Paris-Saclay,Commissariat à l'énergie atomique et aux énergies alternatives,Université Paris-Saclay;ENS Paris-Saclay,CEA,U PARIS-SACLAY;AUT_ETAB,EPIC,UNIV;Autres établissements ESR,Organismes de type EPIC,Université;0912423P,0912281K,0912408Y;19940607500036,77568501900587,13002602400054;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;;;PE1;Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200520633K&PUBLIC=OK
