institution_country_code,year,institution_id,institution_display_name,institution_ror,institution_type,nb,id_paysage_init,id_paysage__init,id_paysage_corr,id_paysage_RGP,id_paysage,id_paysage_actuel,uo_lib
FR,2020,https://openalex.org/I4210160189,Institut Polytechnique de Bordeaux,054qv7y42,education,676,S88MV,,,XeJDw,S88MV,S88MV,Bordeaux INP
FR,2021,https://openalex.org/I4210154111,Université Gustave Eiffel,03x42jk29,education,669,3Z5e6,,,6g0Mb,3Z5e6,3Z5e6,Université Gustave Eiffel
FR,2022,https://openalex.org/I4210107720,CentraleSupélec,019tcpt25,facility,660,m84Aa,,,G2qA7,m84Aa,m84Aa,CentraleSupélec
FR,2021,https://openalex.org/I68947357,University of Strasbourg,00pg6eq24,education,655,4k25D,,,LorStr,4k25D,4k25D,Université de Strasbourg
FR,2022,https://openalex.org/I68947357,University of Strasbourg,00pg6eq24,education,643,4k25D,,,LorStr,4k25D,4k25D,Université de Strasbourg
FR,2023,https://openalex.org/I4210107720,CentraleSupélec,019tcpt25,facility,622,m84Aa,,,G2qA7,m84Aa,m84Aa,CentraleSupélec
FR,2021,https://openalex.org/I4210166444,Institut de Recherche pour le Développement,05q3vnk25,government,608,Uan45,,,,Uan45,Uan45,Institut de recherche pour le développement
FR,2023,https://openalex.org/I48430043,Institut National des Sciences Appliquées de Lyon,050jn9y42,education,599,8k41p,,,iq0rG,8k41p,8k41p,Institut national des sciences appliquées de Lyon
FR,2020,https://openalex.org/I4210166444,Institut de Recherche pour le Développement,05q3vnk25,government,582,Uan45,,,,Uan45,Uan45,Institut de recherche pour le développement
FR,2023,https://openalex.org/I4210097159,Assistance Publique – Hôpitaux de Paris,00pg5jh14,healthcare,580,Py0K5,,,,Py0K5,Py0K5,Assistance Publique – Hôpitaux de Paris
FR,2022,https://openalex.org/I4210097159,Assistance Publique – Hôpitaux de Paris,00pg5jh14,healthcare,576,Py0K5,,,,Py0K5,Py0K5,Assistance Publique – Hôpitaux de Paris
FR,2021,https://openalex.org/I4210128565,CEA Saclay,03n15ch10,government,573,hg15O,,,,hg15O,hg15O,CEA Saclay
FR,2020,https://openalex.org/I68947357,University of Strasbourg,00pg6eq24,education,573,4k25D,,,LorStr,4k25D,4k25D,Université de Strasbourg
FR,2018,https://openalex.org/I4210107720,CentraleSupélec,019tcpt25,facility,571,m84Aa,,,G2qA7,m84Aa,m84Aa,CentraleSupélec
FR,2023,https://openalex.org/I201841394,Université Côte d'Azur,019tgvf94,education,571,s3t8T,,,s3t8T,s3t8T,s3t8T,Université Côte d'Azur
FR,2022,https://openalex.org/I161929037,Université de Bretagne Occidentale,01b8h3982,education,570,06SE7,,,A89E8,06SE7,06SE7,Université de Bretagne Occidentale
FR,2022,https://openalex.org/I2802759292,Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies,004fmxv66,facility,568,LWY92,,,,LWY92,LWY92,Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies
FR,2020,https://openalex.org/I4210154111,Université Gustave Eiffel,03x42jk29,education,559,3Z5e6,,,6g0Mb,3Z5e6,3Z5e6,Université Gustave Eiffel
FR,2022,https://openalex.org/I48430043,Institut National des Sciences Appliquées de Lyon,050jn9y42,education,556,8k41p,,,iq0rG,8k41p,8k41p,Institut national des sciences appliquées de Lyon
FR,2022,https://openalex.org/I4210166444,Institut de Recherche pour le Développement,05q3vnk25,government,555,Uan45,,,,Uan45,Uan45,Institut de recherche pour le développement
FR,2020,https://openalex.org/I201841394,Université Côte d'Azur,019tgvf94,education,544,s3t8T,,,s3t8T,s3t8T,s3t8T,Université Côte d'Azur
FR,2021,https://openalex.org/I4210118524,Université Bourgogne Franche-Comté,02dn7x778,education,543,8A0mg,,,8A0mg,8A0mg,8A0mg,Université Bourgogne - Franche-Comté
FR,2020,https://openalex.org/I4210117005,Laboratoire des Sciences du Numérique de Nantes,02snf8m58,facility,540,rX21R,,,,rX21R,rX21R,Laboratoire des Sciences du Numérique de Nantes
